,number,word,strength,scholor,vector
166,;^),1.4,0.91652,"[2, 2, 1, 2, 1, 2, -1, 1, 2, 2]",
167,</3,-3.0,1.0,"[-3, -3, -4, -3, -4, -1, -2, -2, -4, -4]",
168,<3,1.9,1.13578,"[3, 2, 1, 3, 1, 4, 2, 0, 1, 2]",
169,<:,2.1,1.13578,"[3, 2, 4, 1, 1, 1, 1, 2, 4, 2]",
170,<:-|,-1.4,0.66332,"[-1, -1, -1, -2, -2, -1, -3, -1, -1, -1]",
171,=),2.2,1.16619,"[4, 2, 3, 3, 2, 1, 1, 4, 1, 1]",
172,=-3,2.0,0.63246,"[2, 2, 2, 3, 1, 3, 1, 2, 2, 2]",
173,=-d,2.4,0.91652,"[2, 2, 1, 3, 2, 4, 2, 4, 2, 2]",
174,=-D,2.4,0.91652,"[2, 2, 1, 3, 2, 4, 2, 4, 2, 2]",
175,=/,-1.4,0.91652,"[-1, -1, -1, -1, -1, -2, -1, -1, -4, -1]",
176,=3,2.1,0.7,"[3, 1, 2, 1, 2, 3, 2, 2, 3, 2]",
177,=d,2.3,0.45826,"[3, 2, 2, 2, 2, 3, 2, 2, 2, 3]",
178,=D,2.3,0.45826,"[3, 2, 2, 2, 2, 3, 2, 2, 2, 3]",
179,=l,-1.2,0.6,"[-2, -1, -1, 0, -2, -1, -2, -1, -1, -1]",
180,=\,-1.2,0.6,"[-2, -1, -1, 0, -2, -1, -2, -1, -1, -1]",
181,=],1.6,0.8,"[2, 1, 3, 1, 1, 1, 2, 3, 1, 1]",
182,=p,1.3,0.9,"[2, 1, 2, 1, 2, -1, 1, 2, 2, 1]",
183,=|,-0.8,0.87178,"[-2, -1, -2, 1, 0, -1, 0, -1, -1, -1]",
184,>-:,-2.0,0.89443,"[-2, -3, -2, -4, -1, -1, -1, -2, -2, -2]",
185,>.<,-1.3,0.45826,"[-1, -2, -1, -2, -2, -1, -1, -1, -1, -1]",
186,>:,-2.1,1.13578,"[-4, -1, -1, -4, -2, -3, -1, -1, -2, -2]",
187,>:(,-2.7,0.64031,"[-2, -3, -2, -3, -3, -2, -4, -2, -3, -3]",
188,>:),0.4,1.42829,"[1, 1, 2, 1, -1, -2, 1, 2, -2, 1]",
189,>:-(,-2.7,0.78102,"[-3, -2, -3, -2, -4, -2, -3, -2, -2, -4]",
190,>:-),-0.4,1.68523,"[1, 2, 1, -2, -2, -1, -1, -3, -1, 2]",
191,>:/,-1.6,0.8,"[-1, -2, -1, -3, -1, -1, -1, -1, -2, -3]",
192,>:o,-1.2,1.16619,"[-3, -1, -2, 0, -2, -2, 0, -1, 1, -2]",
193,>:p,1.0,0.7746,"[-1, 1, 1, 2, 1, 2, 1, 1, 1, 1]",
194,>:[,-2.1,0.53852,"[-2, -2, -2, -2, -3, -3, -2, -1, -2, -2]",
195,>:\,-1.7,0.64031,"[-1, -2, -1, -2, -2, -3, -1, -1, -2, -2]",
196,>;(,-2.9,0.7,"[-3, -4, -3, -2, -2, -3, -3, -3, -2, -4]",
197,>;),0.1,1.04403,"[-1, 1, 0, -1, 2, 0, -1, 1, 1, -1]",
198,>_>^,2.1,0.9434,"[2, 2, 1, 4, 3, 2, 1, 3, 1, 2]",
199,@:,-2.1,0.9434,"[-3, -2, -3, -1, -2, -4, -1, -2, -1, -2]",
200,@>-->--,2.1,1.22066,"[1, 1, 0, 2, 4, 2, 4, 2, 3, 2]",
201,@}-;-'---,2.2,1.32665,"[0, 1, 3, 2, 1, 4, 4, 1, 3, 3]",
202,aas,2.5,0.80623,"[2, 3, 3, 4, 1, 2, 3, 2, 2, 3]",
203,aayf,2.7,0.78102,"[2, 3, 2, 4, 3, 2, 2, 3, 4, 2]",
204,afu,-2.9,0.83066,"[-3, -3, -3, -3, -3, -1, -4, -4, -2, -3]",
205,alol,2.8,0.74833,"[2, 2, 2, 3, 3, 2, 3, 4, 4, 3]",
206,ambw,2.9,0.7,"[2, 3, 4, 2, 3, 2, 3, 3, 4, 3]",
207,aml,3.4,0.66332,"[4, 3, 2, 4, 3, 3, 4, 4, 3, 4]",
208,atab,-1.9,1.22066,"[-2, 0, -1, -2, -1, -1, -2, -4, -4, -2]",
209,awol,-1.3,0.78102,"[0, -1, -1, -1, -1, -1, -2, -2, -3, -1]",
210,ayc,0.2,0.9798,"[0, 1, -1, 1, 0, 1, 0, -1, 2, -1]",
211,ayor,-1.2,0.6,"[-1, -1, -2, -2, -1, -1, -1, 0, -2, -1]",
212,aug-00,0.3,1.18743,"[2, 0, -2, 0, 0, 1, -1, 2, 1, 0]",
213,bfd,-2.7,0.78102,"[-3, -2, -4, -2, -3, -2, -3, -2, -4, -2]",
214,bfe,-2.6,1.35647,"[-3, -3, -4, -2, -3, -2, 1, -3, -4, -3]",
215,bff,2.9,0.83066,"[3, 3, 4, 2, 4, 2, 2, 3, 4, 2]",
